institution_code,collection_code,catalog_number,individual_count,genus,species,family,preparation_type,tissues,latitude,longitude,coordinate_uncertainty_m,horizontal_data,country,state_province,parish,island,island_group,locality,verbatim_elevation,verbatim_depth,year,month,day,collector,georef_method,latlong_comments,basisofrecord,remarks,date_late_modified
TNHC,Ichthyology Collection,49240,,Ammocrypta,clara,Percidae,Fluid,,31.4447,-93.0939,100,,United States,Louisiana,Natchitoches,,,"Kisatchie Bayou at Kisatchie Bayou Campground, end of Bayou",,,1992,3,12,R.D. & J.S. Suttkus,,"Assuming ""Rt 366"" is now Bayou Camp Rd, as Kisatchie Bayou Campground sits at the end of it. Coordinates placed in the middle of the Kisatchie Bayou at the campground, and uncertainty extends down past some riffles that could have been a possible collection site.",PreservedSpecimen,night collection,
TU,Fish,60764,1,Ammocrypta,clara,Percidae,,,30.86028,-93.56167,,,United States of America,Louisiana,Beauregard,,,Sabine River 0.5 mi. below mouth of Anacoco Bayou.,,,1988,7,29,Ichthyology class,,,PreservedSpecimen,,
TU,Fish,89666,1,Ammocrypta,clara,Percidae,,,30.86778,-93.50889,,,United States of America,Louisiana,Beauregard,,,Bayou Anacoco at Hwy. 111.,,,1988,3,24,R.D. Suttkus & J.H. Caruso,,,PreservedSpecimen,,
TU,Fish,65184,1,Ammocrypta,clara,Percidae,,,30.85306,-93.55778,,,United States of America,Louisiana,Beauregard,,,Sabine River along sandbar at Eaves Old River; Station #6.,,,1987,3,19,R.D. Suttkus & J.H. Caruso,,,PreservedSpecimen,,
TU,Fish,36577,24,Ammocrypta,clara,Percidae,,,31.175,-93.56667,,,United States of America,Louisiana,Sabine,,,Sabine River 8 mi. SW of Toro.,,,1986,3,27,R.D. Suttkus & K.G. Goodfellow,,,PreservedSpecimen,,
TU,Fish,62358,1,Ammocrypta,clara,Percidae,,,30.87556,-93.43472,,,United States of America,Louisiana,Vernon,,,Bayou Anacoco 0.5 mi. above mouth where it enters Sabine River; Fish Station #5.,,,1986,3,27,R.D. Suttkus & K.G. Goodfellow,,,PreservedSpecimen,,
TU,Fish,62392,1,Ammocrypta,clara,Percidae,,,30.86028,-93.56167,,,United States of America,Louisiana,Beauregard,,,Sabine River 0.5 mi. below mouth of Bayou Anacoco; Main River #4.,,,1986,3,27,R.D. Suttkus & K.G. Goodfellow,,,PreservedSpecimen,,
TU,Fish,64099,3,Ammocrypta,clara,Percidae,,,30.88722,-93.57278,,,United States of America,Louisiana,Vernon,,,Sabine River 2.5 mi. above mouth of Bayou Anacoco; Fish Station #2.,,,1986,3,27,R.D. Suttkus & K.G. Goodfellow,,,PreservedSpecimen,,
TU,Fish,64120,1,Ammocrypta,clara,Percidae,,,30.85306,-93.55778,,,United States of America,Louisiana,Beauregard,,,Sabine River along sandbar at Eaves Old River; Fish Station #6.,,,1986,6,5,R.D. Suttkus & K.G. Goodfellow,,,PreservedSpecimen,,
TU,Fish,162417,1,Ammocrypta,clara,Percidae,,,31.34472,-92.49416,,,United States of America,Louisiana,Rapides,,,Red River along right bank at River Mile 111.,,,1985,9,26,R.D. Suttkus & K.G. Goodfellow,,,PreservedSpecimen,,
